,region,age,contents,year,value
255,Åsnes,80 years or older,Living with others,2019,213
256,Våler (Hedmark),67-79 years,Living alone,2019,176
257,Våler (Hedmark),67-79 years,Living with others,2019,425
258,Våler (Hedmark),80 years or older,Living alone,2019,111
259,Våler (Hedmark),80 years or older,Living with others,2019,106
260,Elverum,67-79 years,Living alone,2019,814
261,Elverum,67-79 years,Living with others,2019,1852
262,Elverum,80 years or older,Living alone,2019,513
263,Elverum,80 years or older,Living with others,2019,399
264,Trysil,67-79 years,Living alone,2019,311
265,Trysil,67-79 years,Living with others,2019,757
266,Trysil,80 years or older,Living alone,2019,208
267,Trysil,80 years or older,Living with others,2019,189
268,Åmot,67-79 years,Living alone,2019,182
269,Åmot,67-79 years,Living with others,2019,388
270,Åmot,80 years or older,Living alone,2019,135
271,Åmot,80 years or older,Living with others,2019,92
272,Stor-Elvdal,67-79 years,Living alone,2019,134
273,Stor-Elvdal,67-79 years,Living with others,2019,274
274,Stor-Elvdal,80 years or older,Living alone,2019,83
275,Stor-Elvdal,80 years or older,Living with others,2019,91
276,Rendalen,67-79 years,Living alone,2019,123
277,Rendalen,67-79 years,Living with others,2019,230
278,Rendalen,80 years or older,Living alone,2019,71
279,Rendalen,80 years or older,Living with others,2019,52
280,Engerdal,67-79 years,Living alone,2019,79
281,Engerdal,67-79 years,Living with others,2019,166
282,Engerdal,80 years or older,Living alone,2019,42
283,Engerdal,80 years or older,Living with others,2019,37
284,Tolga,67-79 years,Living alone,2019,56
285,Tolga,67-79 years,Living with others,2019,142
286,Tolga,80 years or older,Living alone,2019,50
287,Tolga,80 years or older,Living with others,2019,41
288,Tynset,67-79 years,Living alone,2019,203
289,Tynset,67-79 years,Living with others,2019,479
290,Tynset,80 years or older,Living alone,2019,142
291,Tynset,80 years or older,Living with others,2019,133
292,Alvdal,67-79 years,Living alone,2019,91
293,Alvdal,67-79 years,Living with others,2019,196
294,Alvdal,80 years or older,Living alone,2019,74
295,Alvdal,80 years or older,Living with others,2019,59
296,Folldal,67-79 years,Living alone,2019,82
297,Folldal,67-79 years,Living with others,2019,197
298,Folldal,80 years or older,Living alone,2019,64
299,Folldal,80 years or older,Living with others,2019,43
300,Os,67-79 years,Living alone,2019,70
301,Os,67-79 years,Living with others,2019,213
302,Os,80 years or older,Living alone,2019,55
303,Os,80 years or older,Living with others,2019,62
