,region,age,contents,year,value
1152,Hattfjelldal,67-79 years,Living alone,2019,51
1153,Hattfjelldal,67-79 years,Living with others,2019,177
1154,Hattfjelldal,80 years or older,Living alone,2019,50
1155,Hattfjelldal,80 years or older,Living with others,2019,52
1156,Dønna,67-79 years,Living alone,2019,70
1157,Dønna,67-79 years,Living with others,2019,160
1158,Dønna,80 years or older,Living alone,2019,33
1159,Dønna,80 years or older,Living with others,2019,29
1160,Nesna,67-79 years,Living alone,2019,72
1161,Nesna,67-79 years,Living with others,2019,142
1162,Nesna,80 years or older,Living alone,2019,50
1163,Nesna,80 years or older,Living with others,2019,38
1164,Hemnes,67-79 years,Living alone,2019,195
1165,Hemnes,67-79 years,Living with others,2019,451
1166,Hemnes,80 years or older,Living alone,2019,133
1167,Hemnes,80 years or older,Living with others,2019,132
1168,Rana,67-79 years,Living alone,2019,803
1169,Rana,67-79 years,Living with others,2019,2304
1170,Rana,80 years or older,Living alone,2019,665
1171,Rana,80 years or older,Living with others,2019,532
1172,Lurøy,67-79 years,Living alone,2019,87
1173,Lurøy,67-79 years,Living with others,2019,190
1174,Lurøy,80 years or older,Living alone,2019,70
1175,Lurøy,80 years or older,Living with others,2019,48
1176,Træna,67-79 years,Living alone,2019,21
1177,Træna,67-79 years,Living with others,2019,33
1178,Træna,80 years or older,Living alone,2019,13
1179,Træna,80 years or older,Living with others,2019,8
1180,Rødøy,67-79 years,Living alone,2019,60
1181,Rødøy,67-79 years,Living with others,2019,115
1182,Rødøy,80 years or older,Living alone,2019,36
1183,Rødøy,80 years or older,Living with others,2019,29
1184,Meløy,67-79 years,Living alone,2019,242
1185,Meløy,67-79 years,Living with others,2019,571
1186,Meløy,80 years or older,Living alone,2019,188
1187,Meløy,80 years or older,Living with others,2019,187
1188,Gildeskål,67-79 years,Living alone,2019,101
1189,Gildeskål,67-79 years,Living with others,2019,204
1190,Gildeskål,80 years or older,Living alone,2019,70
1191,Gildeskål,80 years or older,Living with others,2019,61
1192,Beiarn,67-79 years,Living alone,2019,47
1193,Beiarn,67-79 years,Living with others,2019,139
1194,Beiarn,80 years or older,Living alone,2019,30
1195,Beiarn,80 years or older,Living with others,2019,54
1196,Saltdal,67-79 years,Living alone,2019,175
1197,Saltdal,67-79 years,Living with others,2019,528
1198,Saltdal,80 years or older,Living alone,2019,117
1199,Saltdal,80 years or older,Living with others,2019,116
1200,Fauske - Fuosko,67-79 years,Living alone,2019,377
1201,Fauske - Fuosko,67-79 years,Living with others,2019,968
1202,Fauske - Fuosko,80 years or older,Living alone,2019,248
1203,Fauske - Fuosko,80 years or older,Living with others,2019,195
1204,Sørfold,67-79 years,Living alone,2019,91
1205,Sørfold,67-79 years,Living with others,2019,253
1206,Sørfold,80 years or older,Living alone,2019,65
1207,Sørfold,80 years or older,Living with others,2019,44
1208,Steigen,67-79 years,Living alone,2019,137
1209,Steigen,67-79 years,Living with others,2019,300
1210,Steigen,80 years or older,Living alone,2019,84
1211,Steigen,80 years or older,Living with others,2019,64
1212,Lødingen,67-79 years,Living alone,2019,101
1213,Lødingen,67-79 years,Living with others,2019,245
1214,Lødingen,80 years or older,Living alone,2019,76
1215,Lødingen,80 years or older,Living with others,2019,67
1216,Evenes,67-79 years,Living alone,2019,68
1217,Evenes,67-79 years,Living with others,2019,177
1218,Evenes,80 years or older,Living alone,2019,46
1219,Evenes,80 years or older,Living with others,2019,31
1220,Røst,67-79 years,Living alone,2019,24
1221,Røst,67-79 years,Living with others,2019,40
1222,Røst,80 years or older,Living alone,2019,22
1223,Røst,80 years or older,Living with others,2019,15
1224,Værøy,67-79 years,Living alone,2019,30
1225,Værøy,67-79 years,Living with others,2019,75
1226,Værøy,80 years or older,Living alone,2019,23
1227,Værøy,80 years or older,Living with others,2019,21
1228,Flakstad,67-79 years,Living alone,2019,49
1229,Flakstad,67-79 years,Living with others,2019,131
1230,Flakstad,80 years or older,Living alone,2019,60
1231,Flakstad,80 years or older,Living with others,2019,49
1232,Vestvågøy,67-79 years,Living alone,2019,403
1233,Vestvågøy,67-79 years,Living with others,2019,930
1234,Vestvågøy,80 years or older,Living alone,2019,291
1235,Vestvågøy,80 years or older,Living with others,2019,245
1236,Vågan,67-79 years,Living alone,2019,351
1237,Vågan,67-79 years,Living with others,2019,832
1238,Vågan,80 years or older,Living alone,2019,194
1239,Vågan,80 years or older,Living with others,2019,185
1240,Hadsel,67-79 years,Living alone,2019,334
1241,Hadsel,67-79 years,Living with others,2019,798
1242,Hadsel,80 years or older,Living alone,2019,208
1243,Hadsel,80 years or older,Living with others,2019,187
1244,Bø,67-79 years,Living alone,2019,140
1245,Bø,67-79 years,Living with others,2019,294
1246,Bø,80 years or older,Living alone,2019,125
1247,Bø,80 years or older,Living with others,2019,92
1248,Øksnes,67-79 years,Living alone,2019,164
1249,Øksnes,67-79 years,Living with others,2019,385
1250,Øksnes,80 years or older,Living alone,2019,135
1251,Øksnes,80 years or older,Living with others,2019,101
1252,Sortland - Suortá,67-79 years,Living alone,2019,360
1253,Sortland - Suortá,67-79 years,Living with others,2019,833
1254,Sortland - Suortá,80 years or older,Living alone,2019,255
1255,Sortland - Suortá,80 years or older,Living with others,2019,161
1256,Andøy,67-79 years,Living alone,2019,199
1257,Andøy,67-79 years,Living with others,2019,552
1258,Andøy,80 years or older,Living alone,2019,165
1259,Andøy,80 years or older,Living with others,2019,128
1260,Moskenes,67-79 years,Living alone,2019,51
1261,Moskenes,67-79 years,Living with others,2019,99
1262,Moskenes,80 years or older,Living alone,2019,45
1263,Moskenes,80 years or older,Living with others,2019,48
1264,Hamarøy,67-79 years,Living alone,2019,0
1265,Hamarøy,67-79 years,Living with others,2019,0
1266,Hamarøy,80 years or older,Living alone,2019,0
1267,Hamarøy,80 years or older,Living with others,2019,0
1268,Tromsø,67-79 years,Living alone,2019,1959
1269,Tromsø,67-79 years,Living with others,2019,4766
1270,Tromsø,80 years or older,Living alone,2019,980
1271,Tromsø,80 years or older,Living with others,2019,997
1272,Harstad,67-79 years,Living alone,2019,868
1273,Harstad,67-79 years,Living with others,2019,2213
1274,Harstad,80 years or older,Living alone,2019,566
1275,Harstad,80 years or older,Living with others,2019,502
1276,Alta,67-79 years,Living alone,2019,491
1277,Alta,67-79 years,Living with others,2019,1364
1278,Alta,80 years or older,Living alone,2019,277
1279,Alta,80 years or older,Living with others,2019,313
1280,Vardø,67-79 years,Living alone,2019,120
1281,Vardø,67-79 years,Living with others,2019,178
1282,Vardø,80 years or older,Living alone,2019,68
1283,Vardø,80 years or older,Living with others,2019,31
1284,Vadsø,67-79 years,Living alone,2019,220
1285,Vadsø,67-79 years,Living with others,2019,517
1286,Vadsø,80 years or older,Living alone,2019,126
1287,Vadsø,80 years or older,Living with others,2019,120
1288,Hammerfest,67-79 years,Living alone,2019,391
1289,Hammerfest,67-79 years,Living with others,2019,866
1290,Hammerfest,80 years or older,Living alone,2019,216
1291,Hammerfest,80 years or older,Living with others,2019,174
1292,Kvæfjord,67-79 years,Living alone,2019,101
1293,Kvæfjord,67-79 years,Living with others,2019,303
1294,Kvæfjord,80 years or older,Living alone,2019,71
1295,Kvæfjord,80 years or older,Living with others,2019,71
1296,Tjeldsund,67-79 years,Living alone,2019,180
1297,Tjeldsund,67-79 years,Living with others,2019,546
1298,Tjeldsund,80 years or older,Living alone,2019,119
1299,Tjeldsund,80 years or older,Living with others,2019,130
1300,Ibestad,67-79 years,Living alone,2019,79
1301,Ibestad,67-79 years,Living with others,2019,182
1302,Ibestad,80 years or older,Living alone,2019,73
1303,Ibestad,80 years or older,Living with others,2019,42
1304,Gratangen,67-79 years,Living alone,2019,49
1305,Gratangen,67-79 years,Living with others,2019,115
1306,Gratangen,80 years or older,Living alone,2019,41
1307,Gratangen,80 years or older,Living with others,2019,44
1308,Loabák - Lavangen,67-79 years,Living alone,2019,28
1309,Loabák - Lavangen,67-79 years,Living with others,2019,133
1310,Loabák - Lavangen,80 years or older,Living alone,2019,39
1311,Loabák - Lavangen,80 years or older,Living with others,2019,37
1312,Bardu,67-79 years,Living alone,2019,138
1313,Bardu,67-79 years,Living with others,2019,377
1314,Bardu,80 years or older,Living alone,2019,89
1315,Bardu,80 years or older,Living with others,2019,79
1316,Salangen,67-79 years,Living alone,2019,100
1317,Salangen,67-79 years,Living with others,2019,232
1318,Salangen,80 years or older,Living alone,2019,68
1319,Salangen,80 years or older,Living with others,2019,33
1320,Målselv,67-79 years,Living alone,2019,215
1321,Målselv,67-79 years,Living with others,2019,581
1322,Målselv,80 years or older,Living alone,2019,158
1323,Målselv,80 years or older,Living with others,2019,172
1324,Sørreisa,67-79 years,Living alone,2019,107
1325,Sørreisa,67-79 years,Living with others,2019,322
1326,Sørreisa,80 years or older,Living alone,2019,76
1327,Sørreisa,80 years or older,Living with others,2019,72
1328,Dyrøy,67-79 years,Living alone,2019,78
1329,Dyrøy,67-79 years,Living with others,2019,124
1330,Dyrøy,80 years or older,Living alone,2019,47
1331,Dyrøy,80 years or older,Living with others,2019,20
1332,Senja,67-79 years,Living alone,2019,557
1333,Senja,67-79 years,Living with others,2019,1348
1334,Senja,80 years or older,Living alone,2019,354
1335,Senja,80 years or older,Living with others,2019,315
1336,Balsfjord,67-79 years,Living alone,2019,236
1337,Balsfjord,67-79 years,Living with others,2019,609
1338,Balsfjord,80 years or older,Living alone,2019,204
1339,Balsfjord,80 years or older,Living with others,2019,149
1340,Karlsøy,67-79 years,Living alone,2019,108
1341,Karlsøy,67-79 years,Living with others,2019,287
1342,Karlsøy,80 years or older,Living alone,2019,81
1343,Karlsøy,80 years or older,Living with others,2019,76
1344,Lyngen,67-79 years,Living alone,2019,131
1345,Lyngen,67-79 years,Living with others,2019,369
1346,Lyngen,80 years or older,Living alone,2019,96
1347,Lyngen,80 years or older,Living with others,2019,81
1348,Storfjord - Omasvuotna - Omasvuono,67-79 years,Living alone,2019,95
1349,Storfjord - Omasvuotna - Omasvuono,67-79 years,Living with others,2019,208
1350,Storfjord - Omasvuotna - Omasvuono,80 years or older,Living alone,2019,46
1351,Storfjord - Omasvuotna - Omasvuono,80 years or older,Living with others,2019,40
1352,Gáivuotna - Kåfjord - Kaivuono,67-79 years,Living alone,2019,101
1353,Gáivuotna - Kåfjord - Kaivuono,67-79 years,Living with others,2019,255
1354,Gáivuotna - Kåfjord - Kaivuono,80 years or older,Living alone,2019,72
1355,Gáivuotna - Kåfjord - Kaivuono,80 years or older,Living with others,2019,72
1356,Skjervøy,67-79 years,Living alone,2019,113
1357,Skjervøy,67-79 years,Living with others,2019,292
1358,Skjervøy,80 years or older,Living alone,2019,67
1359,Skjervøy,80 years or older,Living with others,2019,61
1360,Nordreisa,67-79 years,Living alone,2019,213
1361,Nordreisa,67-79 years,Living with others,2019,447
1362,Nordreisa,80 years or older,Living alone,2019,120
1363,Nordreisa,80 years or older,Living with others,2019,93
1364,Kvænangen,67-79 years,Living alone,2019,61
1365,Kvænangen,67-79 years,Living with others,2019,147
1366,Kvænangen,80 years or older,Living alone,2019,47
1367,Kvænangen,80 years or older,Living with others,2019,36
1368,Guovdageaidnu - Kautokeino,67-79 years,Living alone,2019,83
1369,Guovdageaidnu - Kautokeino,67-79 years,Living with others,2019,249
1370,Guovdageaidnu - Kautokeino,80 years or older,Living alone,2019,34
1371,Guovdageaidnu - Kautokeino,80 years or older,Living with others,2019,76
1372,Loppa,67-79 years,Living alone,2019,78
1373,Loppa,67-79 years,Living with others,2019,96
1374,Loppa,80 years or older,Living alone,2019,29
1375,Loppa,80 years or older,Living with others,2019,35
1376,Hasvik,67-79 years,Living alone,2019,55
1377,Hasvik,67-79 years,Living with others,2019,73
1378,Hasvik,80 years or older,Living alone,2019,27
1379,Hasvik,80 years or older,Living with others,2019,25
1380,Måsøy,67-79 years,Living alone,2019,80
1381,Måsøy,67-79 years,Living with others,2019,127
1382,Måsøy,80 years or older,Living alone,2019,46
1383,Måsøy,80 years or older,Living with others,2019,34
1384,Nordkapp,67-79 years,Living alone,2019,164
1385,Nordkapp,67-79 years,Living with others,2019,269
1386,Nordkapp,80 years or older,Living alone,2019,75
1387,Nordkapp,80 years or older,Living with others,2019,54
1388,Porsanger - Porsángu - Porsanki ,67-79 years,Living alone,2019,195
1389,Porsanger - Porsángu - Porsanki ,67-79 years,Living with others,2019,360
1390,Porsanger - Porsángu - Porsanki ,80 years or older,Living alone,2019,75
1391,Porsanger - Porsángu - Porsanki ,80 years or older,Living with others,2019,92
1392,Kárásjohka - Karasjok,67-79 years,Living alone,2019,91
1393,Kárásjohka - Karasjok,67-79 years,Living with others,2019,200
1394,Kárásjohka - Karasjok,80 years or older,Living alone,2019,42
1395,Kárásjohka - Karasjok,80 years or older,Living with others,2019,68
1396,Lebesby,67-79 years,Living alone,2019,68
1397,Lebesby,67-79 years,Living with others,2019,103
1398,Lebesby,80 years or older,Living alone,2019,46
1399,Lebesby,80 years or older,Living with others,2019,28
1400,Gamvik,67-79 years,Living alone,2019,64
1401,Gamvik,67-79 years,Living with others,2019,96
1402,Gamvik,80 years or older,Living alone,2019,25
1403,Gamvik,80 years or older,Living with others,2019,22
1404,Berlevåg,67-79 years,Living alone,2019,61
1405,Berlevåg,67-79 years,Living with others,2019,94
1406,Berlevåg,80 years or older,Living alone,2019,34
1407,Berlevåg,80 years or older,Living with others,2019,24
1408,Deatnu - Tana,67-79 years,Living alone,2019,141
1409,Deatnu - Tana,67-79 years,Living with others,2019,292
1410,Deatnu - Tana,80 years or older,Living alone,2019,78
1411,Deatnu - Tana,80 years or older,Living with others,2019,58
1412,Unjárga - Nesseby,67-79 years,Living alone,2019,63
1413,Unjárga - Nesseby,67-79 years,Living with others,2019,105
1414,Unjárga - Nesseby,80 years or older,Living alone,2019,33
1415,Unjárga - Nesseby,80 years or older,Living with others,2019,23
1416,Båtsfjord,67-79 years,Living alone,2019,81
1417,Båtsfjord,67-79 years,Living with others,2019,180
1418,Båtsfjord,80 years or older,Living alone,2019,42
1419,Båtsfjord,80 years or older,Living with others,2019,26
1420,Sør-Varanger,67-79 years,Living alone,2019,375
1421,Sør-Varanger,67-79 years,Living with others,2019,753
1422,Sør-Varanger,80 years or older,Living alone,2019,226
1423,Sør-Varanger,80 years or older,Living with others,2019,172
1424,Svalbard and Jan Mayen,67-79 years,Living alone,2019,0
1425,Svalbard and Jan Mayen,67-79 years,Living with others,2019,0
1426,Svalbard and Jan Mayen,80 years or older,Living alone,2019,0
1427,Svalbard and Jan Mayen,80 years or older,Living with others,2019,0
1428,Continental shelf,67-79 years,Living alone,2019,0
1429,Continental shelf,67-79 years,Living with others,2019,0
1430,Continental shelf,80 years or older,Living alone,2019,0
1431,Continental shelf,80 years or older,Living with others,2019,0
1432,Divided municalities and unknown,67-79 years,Living alone,2019,2000
1433,Divided municalities and unknown,67-79 years,Living with others,2019,5122
1434,Divided municalities and unknown,80 years or older,Living alone,2019,1514
1435,Divided municalities and unknown,80 years or older,Living with others,2019,1250
