Municipality,To,Commuters
Moss,Hå,1
Moss,Klepp,0
Moss,Time,1
Moss,Gjesdal,1
Moss,Sola,4
Moss,Randaberg,0
Moss,Strand,13
Moss,Hjelmeland,0
Moss,Suldal,1
Moss,Sauda,0
Moss,Kvitsøy,0
Moss,Bokn,0
Moss,Tysvær,1
Moss,Karmøy,4
Moss,Utsira,0
Moss,Vindafjord,1
Moss,Bergen,35
Moss,Etne,0
Moss,Sveio,0
Moss,Bømlo,0
Moss,Stord,2
Moss,Fitjar,0
Moss,Tysnes,0
Moss,Kvinnherad,0
Moss,Ullensvang,0
Moss,Eidfjord,0
Moss,Ulvik,0
Moss,Voss,1
Moss,Kvam,0
Moss,Samnanger,0
Moss,Austevoll,0
Moss,Sund,16
Moss,Fjell,2
Moss,Askøy,2
Moss,Vaksdal,0
Moss,Modalen,0
Moss,Osterøy,0
Moss,Meland,0
Moss,Øygarden,2
Moss,Austrheim,1
Moss,Fedje,0
Moss,Masfjorden,0
Moss,Gulen,0
Moss,Solund,0
Moss,Hyllestad,0
Moss,Høyanger,0
Moss,Vik,22
Moss,Sogndal,1
Moss,Aurland,0
Moss,Lærdal,0
Moss,Årdal,0
Moss,Luster,0
Moss,Askvoll,0
Moss,Fjaler,0
Moss,Bremanger,1
Moss,Eid,38
Moss,Gloppen,1
Moss,Stryn,0
Moss,Molde,2
Moss,Ålesund,4
Moss,Kristiansund,2
Moss,Vanylven,0
Moss,Sande,17
Moss,Herøy,3
Moss,Ulstein,1
Moss,Hareid,1
Moss,Volda,0
Moss,Ørsta,0
Moss,Stranda,0
Moss,Sykkylven,0
Moss,Sula,1
Moss,Giske,0
Moss,Vestnes,0
Moss,Rauma,0
Moss,Aukra,1
Moss,Averøy,0
Moss,Gjemnes,0
Moss,Tingvoll,1
Moss,Sunndal,0
Moss,Surnadal,0
Moss,Smøla,0
Moss,Aure,0
Moss,Bodø,1
Moss,Bindal,0
Moss,Sømna,0
Moss,Brønnøy,1
Moss,Vega,0
Moss,Vevelstad,0
Moss,Leirfjord,0
Moss,Vefsn,1
Moss,Grane,0
Moss,Hattfjelldal,0
Moss,Dønna,0
Moss,Nesna,0
Moss,Hemnes,0
Moss,Rana,2
Moss,Lurøy,0
Moss,Træna,0
Moss,Rødøy,0
Moss,Meløy,0
Moss,Gildeskål,0
Moss,Beiarn,1
Moss,Saltdal,0
Moss,Fauske,2
Moss,Sørfold,0
Moss,Steigen,0
Moss,Lødingen,0
Moss,Tjeldsund,0
Moss,Evenes,0
Moss,Røst,0
Moss,Værøy,0
Moss,Flakstad,0
Moss,Vestvågøy,0
Moss,Vågan,0
Moss,Hadsel,0
Moss,Bø,86
Moss,Øksnes,0
Moss,Sortland,0
Moss,Andøy,1
Moss,Moskenes,0
Moss,Tromsø,6
Moss,Harstad,2
Moss,Kvæfjord,0
Moss,Ibestad,0
Moss,Gratangen,0
Moss,Lavangen,0
Moss,Bardu,0
Moss,Salangen,0
Moss,Målselv,0
Moss,Sørreisa,0
Moss,Dyrøy,0
Moss,Berg,119
Moss,Balsfjord,0
Moss,Karlsøy,0
Moss,Lyngen,0
Moss,Storfjord,0
Moss,Kåfjord,0
Moss,Skjervøy,0
Moss,Nordreisa,0
