Nordreisa,4440,2127,10,3,2,1,206,0
Kvænangen,1079,549,2,1,1,0,57,0
Vardø,2004,1095,2,1,1,1,87,0
Vadsø,5592,2702,6,2,2,1,232,0
Hammerfest,10434,4856,16,8,6,1,364,2
Kautokeino,2350,1037,6,2,2,1,72,0
Alta,19482,8657,27,13,8,1,763,0
Loppa,861,468,1,3,3,0,40,0
Hasvik,1103,508,3,3,2,0,64,0
Måsøy,1227,607,1,2,2,0,53,0
Nordkapp,3022,1538,3,1,1,1,146,0
Porsanger,3696,1840,6,3,3,1,200,2
Karasjok,2378,1078,3,1,1,1,84,0
Lebesby,1266,640,2,2,2,0,68,0
Gamvik,1095,575,2,3,3,0,80,0
Berlevåg,986,485,1,1,1,0,51,0
Tana,2758,1336,5,6,3,1,143,0
Nesseby,876,434,1,1,1,0,59,0
Båtsfjord,2196,1047,2,1,1,2,119,0
Sør-varanger,9885,4643,12,7,5,1,281,2
Trondheim,208583,101635,242,50,31,16,6596,5
Namsos,12713,5841,24,10,8,1,471,3
Hemne,8062,3831,7,4,3,0,261,0
Frøya,4949,2264,8,6,3,1,193,0
Ørland,5082,2423,10,5,2,1,175,0
Åfjord,4984,2424,10,7,7,1,247,0
Osen,10280,4771,15,9,7,2,325,0
Oppdal,6602,3069,10,4,2,1,304,0
Rennebu,2293,1111,2,2,1,0,115,2
Røros,5310,2618,7,3,1,1,234,1
Holtålen,1846,880,2,2,1,0,50,0
Midtre Gauldal,5686,2586,7,4,1,1,211,3
Melhus,15762,6811,16,9,4,2,377,4
Skaun,7839,3250,8,5,1,0,140,2
Malvik,13503,5537,15,4,2,1,264,0
Selbu,3903,1770,5,3,1,1,123,0
Tydal,688,357,1,1,1,0,55,0
Meråker,2333,1136,2,1,1,1,93,0
Stjørdal,22940,10114,34,12,5,2,660,5
Frosta,2466,1106,3,1,1,0,91,0
Levanger,19592,8983,27,10,6,1,500,5
Verdal,14205,6553,15,8,2,1,389,2
Snåsa,1952,895,5,3,2,0,82,0
Lierne,1208,577,2,2,2,0,65,0
Røyrvik,451,205,1,1,1,0,34,0
Namsskogan,785,385,3,2,1,0,62,0
Grong,2164,1097,4,2,1,1,88,0
Høylandet,1173,517,1,1,1,0,59,0
Overhalla,3588,1540,4,3,2,0,178,0
Flatanger,1061,484,2,2,1,0,70,0
Nærøy,4721,2218,17,7,4,2,209,2
Leka,531,266,1,1,1,0,39,0
Inderøy,6404,2820,10,7,2,1,199,2
Indre Fosen,9262,4331,14,7,5,2,270,3
